trajectory,method,t0,T,ns,deltat,runtime,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49
60,CLEAR,0,1000,100,10,95.080000,0.020000,0.020000,0.020000,-0.001000,0.020000,0.020000,0.000000,0.010000,0.006000,0.020000,0.000000,0.000000,0.006000,0.000000,0.013000,0.000000,0.009000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.004000,0.000000,0.004000,0.020000,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000,0.000000,0.006000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000
61,CLEAR,0,1000,100,10,91.460000,0.020000,0.020000,0.020000,0.000000,0.020000,0.020000,0.020000,0.019000,0.020000,0.020000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.020000,-0.001000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000
62,CLEAR,0,1000,100,10,94.370000,0.020000,0.000000,0.015000,0.012000,-0.001000,0.012000,0.004000,0.020000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,0.001000,0.002000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,-0.001000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,CLEAR,0,1000,100,10,91.150000,0.020000,0.000000,0.000000,0.019000,0.007000,0.017000,0.020000,0.017000,0.010000,0.008000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.020000,0.000000,0.000000,-0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.010000,0.012000,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.006000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,CLEAR,0,1000,100,10,89.960000,0.020000,0.020000,0.000000,0.002000,0.020000,0.020000,0.016000,0.020000,0.020000,0.006000,0.000000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.006000,-0.001000,0.000000,0.004000,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65,CLEAR,0,1000,100,10,91.480000,-0.001000,0.020000,0.020000,0.020000,0.000000,0.016000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000
66,CLEAR,0,1000,100,10,92.690000,0.020000,0.020000,0.020000,0.019000,0.020000,0.020000,0.002000,0.020000,0.002000,0.020000,0.000000,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,-0.001000,0.000000,0.014000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,-0.001000,-0.001000,0.000000,0.000000,0.000000,0.000000
67,CLEAR,0,1000,100,10,90.470000,0.018000,0.020000,0.020000,0.019000,0.002000,0.020000,0.020000,0.020000,0.020000,0.020000,0.000000,0.000000,0.002000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68,CLEAR,0,1000,100,10,94.780000,0.010000,0.020000,0.020000,0.020000,0.020000,0.020000,0.014000,0.020000,0.000000,0.020000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000,0.000000,0.008000,0.020000,0.002000,0.000000,0.000000,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,-0.001000,0.000000
69,CLEAR,0,1000,100,10,85.880000,0.020000,0.020000,0.020000,0.000000,0.000000,0.017000,0.020000,0.010000,0.020000,0.020000,0.006000,-0.001000,0.000000,-0.001000,-0.001000,0.000000,0.008000,0.000000,0.000000,-0.001000,0.006000,0.000000,0.004000,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,CLEAR,0,1000,100,10,95.660000,0.010000,0.006500,0.010000,0.000000,0.010000,0.007000,0.010000,0.008500,0.010000,0.006500,0.000000,-0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000500,0.000000,0.000000,0.000000,-0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000500,0.000000,0.000000,-0.000500,-0.000500,-0.000500,0.000000,0.000000,-0.000500,0.000000,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,-0.000500,0.000000,0.000000,0.000000
71,CLEAR,0,1000,100,10,90.640000,0.004000,0.020000,0.020000,0.020000,0.008000,0.004000,0.020000,0.020000,0.017000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,-0.001000,0.000000,0.000000,-0.001000,0.000000,-0.001000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72,CLEAR,0,1000,100,10,90.550000,0.019000,0.020000,0.012000,0.011000,0.001000,0.020000,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73,CLEAR,0,1000,100,10,92.910000,0.009000,0.009000,-0.000450,0.000000,0.009000,0.000000,0.009000,0.009000,0.009000,0.009000,0.001800,0.000000,0.000000,-0.000450,0.000000,0.005850,0.000000,0.000000,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.000000,0.000000,0.001800,0.009000,0.008550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74,CLEAR,0,1000,100,10,92.170000,-0.001000,0.020000,0.020000,0.000000,0.019000,0.020000,0.016000,0.020000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.001000,0.000000,0.000000,-0.001000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
75,CLEAR,0,1000,100,10,94.360000,0.004000,0.020000,0.000000,0.014000,0.020000,0.020000,0.020000,0.020000,0.000000,0.020000,0.000000,0.002000,0.000000,0.018000,0.020000,0.020000,-0.001000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.020000,0.004000,0.000000,0.020000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76,CLEAR,0,1000,100,10,91.930000,0.020000,0.020000,0.020000,0.020000,0.014000,0.015000,0.020000,0.000000,0.020000,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.020000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,-0.001000,-0.001000,0.000000,0.000000,0.020000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77,CLEAR,0,1000,100,10,90.890000,0.020000,0.001000,0.020000,0.020000,0.020000,0.018000,0.020000,0.000000,0.020000,0.000000,0.000000,0.017000,0.000000,0.000000,0.000000,0.006000,0.000000,0.000000,0.002000,0.000000,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,-0.001000,0.004000,0.000000,0.008000,0.008000,0.000000,0.000000,0.006000,0.006000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78,CLEAR,0,1000,100,10,91.970000,0.008000,0.020000,0.000000,0.020000,0.004000,0.020000,0.013000,0.016000,0.006000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,0.000000,0.000000,0.004000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.006000,0.002000,0.000000,0.000000,0.006000,0.000000,0.008000,0.000000,0.006000,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79,CLEAR,0,1000,100,10,89.730000,0.020000,0.020000,0.020000,0.010000,0.020000,0.020000,0.020000,0.020000,0.004000,0.006000,0.019000,0.000000,0.002000,0.000000,0.000000,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,-0.001000,-0.001000,0.000000,0.000000
80,CLEAR,0,1000,100,10,94.260000,0.020000,0.000000,0.020000,0.020000,0.020000,0.020000,0.020000,0.018000,0.000000,0.020000,0.000000,0.020000,-0.001000,0.020000,0.020000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.014000,0.000000,0.000000,-0.001000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.020000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81,CLEAR,0,1000,100,10,94.070000,0.020000,0.007000,0.000000,0.013000,0.014000,0.020000,0.020000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,-0.001000,0.019000,0.000000,0.014000,0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000,-0.001000,0.000000,0.020000,0.000000,0.004000,0.000000,0.000000,0.002000,0.008000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000,0.000000
82,CLEAR,0,1000,100,10,88.910000,0.009000,0.009000,0.009000,0.005850,0.009000,0.005850,0.009000,0.000000,0.000000,0.009000,0.000000,0.000000,-0.000450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000450,0.000000,0.000000,0.005850,0.000000,0.000000,0.000000,0.009000,0.005850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83,CLEAR,0,1000,100,10,83.610000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.003850,0.000000,0.000000,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84,CLEAR,0,1000,100,10,89.480000,0.000000,0.020000,0.000000,0.019000,0.020000,0.014000,0.000000,0.009000,0.001000,0.020000,-0.001000,0.000000,0.000000,0.000000,0.002000,0.000000,0.002000,0.000000,0.009000,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.000000,0.004000,0.000000,0.000000,0.012000,0.004000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000
